Nr,Title,Picture,Size/Color,Count,Desginer,Designer Cena,Cena,PVN,Gala Cena(+21%),Links,Sold
1,Bālais T-Shirt,,M,2,,18,"26,42","5,55","31,97",https://buy.stripe.com/28E6oG0vkbjM1lhcHq9AA1n,
2,Bālais T-Shirt,,L,2,,18,"26,42","5,55","31,97",https://buy.stripe.com/28E6oG0vkbjM1lhcHq9AA1n,
3,Bālais T-Shirt,,XL,1,,18,"26,42","5,55","31,97",https://buy.stripe.com/28E6oG0vkbjM1lhcHq9AA1n,
4,Bālais Longsleeve,,L,1,,20,"29,58","6,21","35,79",,
5,Bālais Hoodie,,XL,1,,30,"42,00","8,82","50,82",https://buy.stripe.com/00weVcema73w7JFbDm9AA1o,
6,TSM T-Shirt,,XL,1,TSM,,"28,74","6,13","34,87",https://buy.stripe.com/9B66oGa5U3Rk6FB6j29AA1p,
7,TSM T-Shirt,,L,1,TSM,,"28,74","6,13","34,87",https://buy.stripe.com/9B66oGa5U3Rk6FB6j29AA1p,
8,TSM T-Shirt,,M,1,TSM,,"28,74","6,13","34,87",https://buy.stripe.com/9B66oGa5U3Rk6FB6j29AA1p,
9,pirmdiena T-Shirt,,L,1,Varis,,"31,31","6,58","37,89",https://buy.stripe.com/eVq8wO6TIafI8NJgXG9AA1q,
10,Unknown_5 T-Shirt,,,1,Estere,,"34,71","7,29","42,00",https://buy.stripe.com/9B64gy3HwafIfc7cHq9AA1r,
11,Unknown_4 T-Shirt,,,1,Estere,,"34,71","7,29","42,00",https://buy.stripe.com/9B64gy3HwafIfc7cHq9AA1r,
12,Pancho,,,1,,,"41,32","8,68","50,00",https://buy.stripe.com/cNi28q3HwbjM0hd8ra9AA1s,
13,Uzkurīs izdomās dad hat,,Melns,3,,,"28,26","5,94","34,20",https://buy.stripe.com/bJe6oGfqe4Vo4xt5eY9AA1t,
14,Uzkurīs izdomās dad hat,,Rozā,1,,,"28,26","5,94","34,20",https://buy.stripe.com/bJe6oGfqe4Vo4xt5eY9AA1t,
15,Uzkurīs izdomās dad hat,,Zils,3,,,"28,26","5,94","34,20",https://buy.stripe.com/bJe6oGfqe4Vo4xt5eY9AA1t,
16,Uzkurīs izdomās beanie,,Pelēks,1,,,"28,26","5,94","34,20",https://buy.stripe.com/bJe6oGfqe4Vo4xt5eY9AA1t,
17,Skater jeans,,,1,Kaža,-,"40,00","8,40","48,40",https://buy.stripe.com/eVqfZgb9YafId3Z36Q9AA1u,
18,Skater bag,,,1,Kaža,-,"35,00","20,00","55,00",https://buy.stripe.com/9B6cN41zo4Vo4xtazi9AA1v,
19,Skater onesie,,,1,Kaža,-,"80,00","16,80","96,80",https://buy.stripe.com/6oU6oGdi60F85Bx6j29AA1w,
20,Skater set,,,1,Kaža,-,"55,00","11,55","66,55",https://buy.stripe.com/00w6oGce2bjM5Bx36Q9AA1x,
21,Skater pants,,,1,Kaža,-,"40,00","8,40","48,40",https://buy.stripe.com/28E8wO1zoevYaVRbDm9AA1y,
22,Skater Shirt,,,1,Kaža,-,"25,00","5,25","30,25",https://buy.stripe.com/28EcN41zobjMd3Z4aU9AA1z,
23,Flowy Pants,,,1,Kaža,-,"50,00","10,50","60,50",https://buy.stripe.com/00weVc5PEevYe839ve9AA1A,
24,Skater Shorts,,,1,Kaža,,"25,00","5,25","30,25",https://buy.stripe.com/6oU6oG2DsevY2pl0YI9AA1B,
25,White Matrix Coat,,,,,,,,"0,00",,
26,Pink Man Sets,,,1,Elza,,40,"8,40","48,40",https://buy.stripe.com/7sY6oG91Q4Vo7JFfTC9AA1C,
27,Pink Man Jacket,,,1,Elza,,"24,79","5,21","30,00",https://buy.stripe.com/8x2aEWb9Y1Jc7JFazi9AA1E,
28,Pink Man Shirt,,,1,Elza,,"20,66115702","4,34","25,00",https://buy.stripe.com/00w8wO0vkafI8NJfTC9AA1D,
29,Comfort Sets,,,1,Elza,,110,"23,10","133,10",https://buy.stripe.com/aFafZg5PE9bE8NJ22M9AA1F,
30,Comfort Jacket,,,1,Elza,,"23,00","4,83","27,83",https://buy.stripe.com/28E4gyce2fA27JF0YI9AA1G,
31,Comfort Pants,,,1,Elza,,"30,00","6,30","36,30",https://buy.stripe.com/14A4gyb9Y2Ng3tp5eY9AA1H,
32,Comfort Gucci flips,,,1,Elza,,"150,00","31,50","181,50",https://buy.stripe.com/8x200i1zo3Rke83cHq9AA1d,
33,Human pants,,,,Elza,80,"100,00","21,00","121,00",https://buy.stripe.com/dRmbJ091QfA24xtcHq9AA1e,
34,Human scarf,,,,Elza,20,"30,00","6,30","36,30",https://buy.stripe.com/28E6oG4LAdrUggb9ve9AA1f,
35,Human set,,,,Elza,90,120,"25,20","145,20",https://buy.stripe.com/9B6bJ0di62Ng7JFbDm9AA1g,
36,White Dress,,,,Elza,100,"120,00","1,00","121,00",https://buy.stripe.com/cNi8wOfqegE6bZV0YI9AA1I,
37,Jean skirt,,,,Elza,70,"100,00","5,00","105,00",https://buy.stripe.com/00w28q1zo73w7JF0YI9AA1i,
38,White Scarf,,,,,,,,"0,00",,
39,tule bag,,,,Elza,20,"25,00","5,25","30,25",https://buy.stripe.com/5kQcN43HwbjM8NJ5eY9AA1k,
40,Jean Scarf,,,,Elza,15,"20,00","4,20","24,20",https://buy.stripe.com/6oU5kCema2Ng5BxgXG9AA1l,
41,White Dress Set,,,,Elza,150,"170,00","55,00","225,00",https://buy.stripe.com/4gM00i0vk9bEfc78ra9AA1m,
42,ASH tray,,,,,,,,54.20,https://buy.stripe.com/28EeVcgui73w8NJ8ra9AA1K,
43,Ash tray,,,,,,,,"74,20",https://buy.stripe.com/eVq5kC1zo3Rk5Bx36Q9AA1L,
